load_id,origin,destination,pickup_datetime,delivery_datetime,equipment_type,loadboard_rate,notes,weight,commodity_type,num_of_pieces,miles,dimensions
001,Chicago IL,Dallas TX,2026-03-22 08:00,2026-03-24 18:00,Dry Van,2850.00,No touch freight. Dock to dock.,42000,Electronics,320,920,53x102x110
002,Los Angeles,Phoenix AZ,2026-03-21 06:00,2026-03-22 14:00,Reefer,1650.00,Temp: 34F. Produce load - time sensitive.,38000,Produce,180,370,48x102x110
003,Atlanta GA,Charlotte NC,2026-03-22 07:00,2026-03-23 09:00,Dry Van,1200.00,Palletized. 2 stops on delivery.,28000,Paper Goods,240,245,53x102x110
004,Houston TX,Memphis TN,2026-03-23 10:00,2026-03-25 08:00,Flatbed,3100.00,Tarping required. Oversize permit needed.,47500,Steel Coils,6,560,48x102x60
005,Chicago IL,Columbus OH,2026-03-21 14:00,2026-03-22 10:00,Dry Van,1450.00,Drop trailer. Call shipper 1hr ahead.,33000,Automotive Parts,280,310,53x102x110
006,Seattle WA,Portland OR,2026-03-22 09:00,2026-03-22 17:00,Reefer,950.00,Frozen. Temp: -10F. Grocery chain delivery.,22000,Frozen Foods,90,175,48x102x110
007,Dallas,Miami FL,2026-03-23 06:00,2026-03-26 12:00,Flatbed,3700.00,High value. No overnight parking in open lots.,39000,Electronics,410,1300,53x102x110
008,Kansas City MO,Denver CO,2026-03-22 12:00,2026-03-24 08:00,Flatbed,2600.00,Construction materials. Loading dock required at delivery.,44000,Lumber,1,600,48x102x60
009,Nashville TN,Philadelphia PA,2026-03-24 07:00,2026-03-26 14:00,Dry Van,2200.00,Palletized consumer goods. Liftgate required at delivery.,31000,Household Goods,260,800,53x102x110
010,Phoenix AZ,Salt Lake City UT,2026-03-22 08:00,2026-03-23 18:00,Dry Van,1750.00,Standard dry freight.,36000,Retail Merchandise,300,600,53x102x110
011,Minneapolis MN,Detroit MI,2026-03-23 09:00,2026-03-24 17:00,Reefer,2100.00,Temp: 36F. Fresh dairy - FIFO unload.,29000,Dairy Products,140,430,48x102x110
012,Los Angeles CA,Las Vegas NV,2026-03-21 16:00,2026-03-22 06:00,Dry Van,1100.00,Expedite. Must deliver by 6AM.,18000,Beverages,200,270,53x102x110
013,New York NY,Boston MA,2026-03-22 10:00,2026-03-22 18:00,Dry Van,1300.00,LTL consolidation. Residential delivery possible.,15000,Apparel,180,215,53x102x110
014,San Antonio TX,Oklahoma City OK,2026-03-24 06:00,2026-03-25 14:00,Flatbed,2400.00,Heavy machinery. Escort not required.,48000,Industrial Equipment,3,440,48x102x58
015,Charlotte NC,Jacksonville FL,2026-03-23 07:00,2026-03-24 16:00,Dry Van,1900.00,Medical supplies. White glove handling at delivery.,24000,Medical Supplies,150,630,53x102x110
016,Chicago IL,Houston TX,2026-03-25 08:00,2026-03-27 20:00,Reefer,3250.00,Temp: 38F. Perishable meats. USDA certified.,40000,Meat Products,220,1090,48x102x110
017,Denver CO,Albuquerque NM,2026-03-22 11:00,2026-03-23 09:00,Dry Van,1350.00,Building materials. Blanket wrap not needed.,27000,Hardware,195,450,53x102x110
